,MONATSZAHL,AUSPRAEGUNG,JAHR,MONAT,WERT
26,Alkoholunfälle,insgesamt,2020,1,28.0
27,Alkoholunfälle,insgesamt,2020,2,40.0
28,Alkoholunfälle,insgesamt,2020,3,27.0
29,Alkoholunfälle,insgesamt,2020,4,26.0
30,Alkoholunfälle,insgesamt,2020,5,40.0
31,Alkoholunfälle,insgesamt,2020,6,49.0
32,Alkoholunfälle,insgesamt,2020,7,58.0
33,Alkoholunfälle,insgesamt,2020,8,46.0
34,Alkoholunfälle,insgesamt,2020,9,46.0
35,Alkoholunfälle,insgesamt,2020,10,34.0
36,Alkoholunfälle,insgesamt,2020,11,23.0
37,Alkoholunfälle,insgesamt,2020,12,13.0
39,Alkoholunfälle,insgesamt,2019,1,22.0
40,Alkoholunfälle,insgesamt,2019,2,28.0
41,Alkoholunfälle,insgesamt,2019,3,34.0
42,Alkoholunfälle,insgesamt,2019,4,36.0
43,Alkoholunfälle,insgesamt,2019,5,39.0
44,Alkoholunfälle,insgesamt,2019,6,40.0
45,Alkoholunfälle,insgesamt,2019,7,48.0
46,Alkoholunfälle,insgesamt,2019,8,31.0
47,Alkoholunfälle,insgesamt,2019,9,47.0
48,Alkoholunfälle,insgesamt,2019,10,45.0
49,Alkoholunfälle,insgesamt,2019,11,29.0
50,Alkoholunfälle,insgesamt,2019,12,35.0
52,Alkoholunfälle,insgesamt,2018,1,22.0
53,Alkoholunfälle,insgesamt,2018,2,24.0
54,Alkoholunfälle,insgesamt,2018,3,32.0
55,Alkoholunfälle,insgesamt,2018,4,25.0
56,Alkoholunfälle,insgesamt,2018,5,34.0
57,Alkoholunfälle,insgesamt,2018,6,39.0
58,Alkoholunfälle,insgesamt,2018,7,51.0
59,Alkoholunfälle,insgesamt,2018,8,40.0
60,Alkoholunfälle,insgesamt,2018,9,36.0
61,Alkoholunfälle,insgesamt,2018,10,43.0
62,Alkoholunfälle,insgesamt,2018,11,31.0
63,Alkoholunfälle,insgesamt,2018,12,21.0
65,Alkoholunfälle,insgesamt,2017,1,19.0
66,Alkoholunfälle,insgesamt,2017,2,22.0
67,Alkoholunfälle,insgesamt,2017,3,36.0
68,Alkoholunfälle,insgesamt,2017,4,26.0
69,Alkoholunfälle,insgesamt,2017,5,29.0
70,Alkoholunfälle,insgesamt,2017,6,41.0
71,Alkoholunfälle,insgesamt,2017,7,52.0
72,Alkoholunfälle,insgesamt,2017,8,30.0
73,Alkoholunfälle,insgesamt,2017,9,47.0
74,Alkoholunfälle,insgesamt,2017,10,32.0
75,Alkoholunfälle,insgesamt,2017,11,33.0
76,Alkoholunfälle,insgesamt,2017,12,42.0
78,Alkoholunfälle,insgesamt,2016,1,21.0
79,Alkoholunfälle,insgesamt,2016,2,10.0
80,Alkoholunfälle,insgesamt,2016,3,20.0
81,Alkoholunfälle,insgesamt,2016,4,27.0
82,Alkoholunfälle,insgesamt,2016,5,25.0
83,Alkoholunfälle,insgesamt,2016,6,30.0
84,Alkoholunfälle,insgesamt,2016,7,35.0
85,Alkoholunfälle,insgesamt,2016,8,34.0
86,Alkoholunfälle,insgesamt,2016,9,29.0
87,Alkoholunfälle,insgesamt,2016,10,30.0
88,Alkoholunfälle,insgesamt,2016,11,20.0
89,Alkoholunfälle,insgesamt,2016,12,20.0
91,Alkoholunfälle,insgesamt,2015,1,22.0
92,Alkoholunfälle,insgesamt,2015,2,23.0
93,Alkoholunfälle,insgesamt,2015,3,23.0
94,Alkoholunfälle,insgesamt,2015,4,29.0
95,Alkoholunfälle,insgesamt,2015,5,50.0
96,Alkoholunfälle,insgesamt,2015,6,39.0
97,Alkoholunfälle,insgesamt,2015,7,49.0
98,Alkoholunfälle,insgesamt,2015,8,49.0
99,Alkoholunfälle,insgesamt,2015,9,45.0
100,Alkoholunfälle,insgesamt,2015,10,25.0
101,Alkoholunfälle,insgesamt,2015,11,30.0
102,Alkoholunfälle,insgesamt,2015,12,27.0
104,Alkoholunfälle,insgesamt,2014,1,21.0
105,Alkoholunfälle,insgesamt,2014,2,17.0
106,Alkoholunfälle,insgesamt,2014,3,37.0
107,Alkoholunfälle,insgesamt,2014,4,35.0
108,Alkoholunfälle,insgesamt,2014,5,28.0
109,Alkoholunfälle,insgesamt,2014,6,31.0
110,Alkoholunfälle,insgesamt,2014,7,35.0
111,Alkoholunfälle,insgesamt,2014,8,32.0
112,Alkoholunfälle,insgesamt,2014,9,43.0
113,Alkoholunfälle,insgesamt,2014,10,36.0
114,Alkoholunfälle,insgesamt,2014,11,42.0
115,Alkoholunfälle,insgesamt,2014,12,25.0
117,Alkoholunfälle,insgesamt,2013,1,17.0
118,Alkoholunfälle,insgesamt,2013,2,15.0
119,Alkoholunfälle,insgesamt,2013,3,21.0
120,Alkoholunfälle,insgesamt,2013,4,28.0
121,Alkoholunfälle,insgesamt,2013,5,33.0
122,Alkoholunfälle,insgesamt,2013,6,37.0
123,Alkoholunfälle,insgesamt,2013,7,42.0
124,Alkoholunfälle,insgesamt,2013,8,39.0
125,Alkoholunfälle,insgesamt,2013,9,47.0
126,Alkoholunfälle,insgesamt,2013,10,31.0
127,Alkoholunfälle,insgesamt,2013,11,35.0
128,Alkoholunfälle,insgesamt,2013,12,32.0
130,Alkoholunfälle,insgesamt,2012,1,21.0
131,Alkoholunfälle,insgesamt,2012,2,18.0
132,Alkoholunfälle,insgesamt,2012,3,21.0
133,Alkoholunfälle,insgesamt,2012,4,34.0
134,Alkoholunfälle,insgesamt,2012,5,54.0
135,Alkoholunfälle,insgesamt,2012,6,43.0
136,Alkoholunfälle,insgesamt,2012,7,56.0
137,Alkoholunfälle,insgesamt,2012,8,55.0
138,Alkoholunfälle,insgesamt,2012,9,49.0
139,Alkoholunfälle,insgesamt,2012,10,32.0
140,Alkoholunfälle,insgesamt,2012,11,30.0
141,Alkoholunfälle,insgesamt,2012,12,27.0
143,Alkoholunfälle,insgesamt,2011,1,25.0
144,Alkoholunfälle,insgesamt,2011,2,25.0
145,Alkoholunfälle,insgesamt,2011,3,22.0
146,Alkoholunfälle,insgesamt,2011,4,43.0
147,Alkoholunfälle,insgesamt,2011,5,43.0
148,Alkoholunfälle,insgesamt,2011,6,27.0
149,Alkoholunfälle,insgesamt,2011,7,39.0
150,Alkoholunfälle,insgesamt,2011,8,34.0
151,Alkoholunfälle,insgesamt,2011,9,36.0
152,Alkoholunfälle,insgesamt,2011,10,26.0
153,Alkoholunfälle,insgesamt,2011,11,40.0
154,Alkoholunfälle,insgesamt,2011,12,37.0
156,Alkoholunfälle,insgesamt,2010,1,19.0
157,Alkoholunfälle,insgesamt,2010,2,23.0
158,Alkoholunfälle,insgesamt,2010,3,31.0
159,Alkoholunfälle,insgesamt,2010,4,33.0
160,Alkoholunfälle,insgesamt,2010,5,34.0
161,Alkoholunfälle,insgesamt,2010,6,39.0
162,Alkoholunfälle,insgesamt,2010,7,48.0
163,Alkoholunfälle,insgesamt,2010,8,40.0
164,Alkoholunfälle,insgesamt,2010,9,54.0
165,Alkoholunfälle,insgesamt,2010,10,27.0
166,Alkoholunfälle,insgesamt,2010,11,28.0
167,Alkoholunfälle,insgesamt,2010,12,26.0
169,Alkoholunfälle,insgesamt,2009,1,23.0
170,Alkoholunfälle,insgesamt,2009,2,32.0
171,Alkoholunfälle,insgesamt,2009,3,14.0
172,Alkoholunfälle,insgesamt,2009,4,45.0
173,Alkoholunfälle,insgesamt,2009,5,57.0
174,Alkoholunfälle,insgesamt,2009,6,31.0
175,Alkoholunfälle,insgesamt,2009,7,44.0
176,Alkoholunfälle,insgesamt,2009,8,35.0
177,Alkoholunfälle,insgesamt,2009,9,49.0
178,Alkoholunfälle,insgesamt,2009,10,35.0
179,Alkoholunfälle,insgesamt,2009,11,31.0
180,Alkoholunfälle,insgesamt,2009,12,34.0
182,Alkoholunfälle,insgesamt,2008,1,32.0
183,Alkoholunfälle,insgesamt,2008,2,30.0
184,Alkoholunfälle,insgesamt,2008,3,30.0
185,Alkoholunfälle,insgesamt,2008,4,25.0
186,Alkoholunfälle,insgesamt,2008,5,57.0
187,Alkoholunfälle,insgesamt,2008,6,56.0
188,Alkoholunfälle,insgesamt,2008,7,52.0
189,Alkoholunfälle,insgesamt,2008,8,44.0
190,Alkoholunfälle,insgesamt,2008,9,49.0
191,Alkoholunfälle,insgesamt,2008,10,45.0
192,Alkoholunfälle,insgesamt,2008,11,27.0
193,Alkoholunfälle,insgesamt,2008,12,35.0
195,Alkoholunfälle,insgesamt,2007,1,36.0
196,Alkoholunfälle,insgesamt,2007,2,32.0
197,Alkoholunfälle,insgesamt,2007,3,38.0
198,Alkoholunfälle,insgesamt,2007,4,49.0
199,Alkoholunfälle,insgesamt,2007,5,63.0
200,Alkoholunfälle,insgesamt,2007,6,51.0
201,Alkoholunfälle,insgesamt,2007,7,65.0
202,Alkoholunfälle,insgesamt,2007,8,44.0
203,Alkoholunfälle,insgesamt,2007,9,54.0
204,Alkoholunfälle,insgesamt,2007,10,55.0
205,Alkoholunfälle,insgesamt,2007,11,36.0
206,Alkoholunfälle,insgesamt,2007,12,37.0
208,Alkoholunfälle,insgesamt,2006,1,44.0
209,Alkoholunfälle,insgesamt,2006,2,50.0
210,Alkoholunfälle,insgesamt,2006,3,40.0
211,Alkoholunfälle,insgesamt,2006,4,40.0
212,Alkoholunfälle,insgesamt,2006,5,53.0
213,Alkoholunfälle,insgesamt,2006,6,51.0
214,Alkoholunfälle,insgesamt,2006,7,64.0
215,Alkoholunfälle,insgesamt,2006,8,48.0
216,Alkoholunfälle,insgesamt,2006,9,64.0
217,Alkoholunfälle,insgesamt,2006,10,45.0
218,Alkoholunfälle,insgesamt,2006,11,48.0
219,Alkoholunfälle,insgesamt,2006,12,52.0
221,Alkoholunfälle,insgesamt,2005,1,48.0
222,Alkoholunfälle,insgesamt,2005,2,40.0
223,Alkoholunfälle,insgesamt,2005,3,40.0
224,Alkoholunfälle,insgesamt,2005,4,40.0
225,Alkoholunfälle,insgesamt,2005,5,48.0
226,Alkoholunfälle,insgesamt,2005,6,57.0
227,Alkoholunfälle,insgesamt,2005,7,63.0
228,Alkoholunfälle,insgesamt,2005,8,48.0
229,Alkoholunfälle,insgesamt,2005,9,76.0
230,Alkoholunfälle,insgesamt,2005,10,57.0
231,Alkoholunfälle,insgesamt,2005,11,42.0
232,Alkoholunfälle,insgesamt,2005,12,41.0
234,Alkoholunfälle,insgesamt,2004,1,42.0
235,Alkoholunfälle,insgesamt,2004,2,48.0
236,Alkoholunfälle,insgesamt,2004,3,44.0
237,Alkoholunfälle,insgesamt,2004,4,37.0
238,Alkoholunfälle,insgesamt,2004,5,55.0
239,Alkoholunfälle,insgesamt,2004,6,58.0
240,Alkoholunfälle,insgesamt,2004,7,67.0
241,Alkoholunfälle,insgesamt,2004,8,58.0
242,Alkoholunfälle,insgesamt,2004,9,79.0
243,Alkoholunfälle,insgesamt,2004,10,68.0
244,Alkoholunfälle,insgesamt,2004,11,51.0
245,Alkoholunfälle,insgesamt,2004,12,52.0
247,Alkoholunfälle,insgesamt,2003,1,55.0
248,Alkoholunfälle,insgesamt,2003,2,44.0
249,Alkoholunfälle,insgesamt,2003,3,53.0
250,Alkoholunfälle,insgesamt,2003,4,50.0
251,Alkoholunfälle,insgesamt,2003,5,65.0
252,Alkoholunfälle,insgesamt,2003,6,82.0
253,Alkoholunfälle,insgesamt,2003,7,76.0
254,Alkoholunfälle,insgesamt,2003,8,66.0
255,Alkoholunfälle,insgesamt,2003,9,63.0
256,Alkoholunfälle,insgesamt,2003,10,74.0
257,Alkoholunfälle,insgesamt,2003,11,44.0
258,Alkoholunfälle,insgesamt,2003,12,58.0
260,Alkoholunfälle,insgesamt,2002,1,44.0
261,Alkoholunfälle,insgesamt,2002,2,49.0
262,Alkoholunfälle,insgesamt,2002,3,61.0
263,Alkoholunfälle,insgesamt,2002,4,65.0
264,Alkoholunfälle,insgesamt,2002,5,58.0
265,Alkoholunfälle,insgesamt,2002,6,74.0
266,Alkoholunfälle,insgesamt,2002,7,84.0
267,Alkoholunfälle,insgesamt,2002,8,71.0
268,Alkoholunfälle,insgesamt,2002,9,107.0
269,Alkoholunfälle,insgesamt,2002,10,83.0
270,Alkoholunfälle,insgesamt,2002,11,44.0
271,Alkoholunfälle,insgesamt,2002,12,63.0
273,Alkoholunfälle,insgesamt,2001,1,66.0
274,Alkoholunfälle,insgesamt,2001,2,49.0
275,Alkoholunfälle,insgesamt,2001,3,63.0
276,Alkoholunfälle,insgesamt,2001,4,68.0
277,Alkoholunfälle,insgesamt,2001,5,85.0
278,Alkoholunfälle,insgesamt,2001,6,68.0
279,Alkoholunfälle,insgesamt,2001,7,71.0
280,Alkoholunfälle,insgesamt,2001,8,60.0
281,Alkoholunfälle,insgesamt,2001,9,107.0
282,Alkoholunfälle,insgesamt,2001,10,77.0
283,Alkoholunfälle,insgesamt,2001,11,68.0
284,Alkoholunfälle,insgesamt,2001,12,66.0
286,Alkoholunfälle,insgesamt,2000,1,78.0
287,Alkoholunfälle,insgesamt,2000,2,53.0
288,Alkoholunfälle,insgesamt,2000,3,73.0
289,Alkoholunfälle,insgesamt,2000,4,78.0
290,Alkoholunfälle,insgesamt,2000,5,96.0
291,Alkoholunfälle,insgesamt,2000,6,57.0
292,Alkoholunfälle,insgesamt,2000,7,99.0
293,Alkoholunfälle,insgesamt,2000,8,77.0
294,Alkoholunfälle,insgesamt,2000,9,84.0
295,Alkoholunfälle,insgesamt,2000,10,83.0
296,Alkoholunfälle,insgesamt,2000,11,71.0
297,Alkoholunfälle,insgesamt,2000,12,85.0
324,Alkoholunfälle,Verletzte und Getötete,2020,1,11.0
325,Alkoholunfälle,Verletzte und Getötete,2020,2,19.0
326,Alkoholunfälle,Verletzte und Getötete,2020,3,13.0
327,Alkoholunfälle,Verletzte und Getötete,2020,4,15.0
328,Alkoholunfälle,Verletzte und Getötete,2020,5,26.0
329,Alkoholunfälle,Verletzte und Getötete,2020,6,30.0
330,Alkoholunfälle,Verletzte und Getötete,2020,7,43.0
331,Alkoholunfälle,Verletzte und Getötete,2020,8,29.0
332,Alkoholunfälle,Verletzte und Getötete,2020,9,24.0
333,Alkoholunfälle,Verletzte und Getötete,2020,10,20.0
334,Alkoholunfälle,Verletzte und Getötete,2020,11,11.0
335,Alkoholunfälle,Verletzte und Getötete,2020,12,9.0
337,Alkoholunfälle,Verletzte und Getötete,2019,1,7.0
338,Alkoholunfälle,Verletzte und Getötete,2019,2,7.0
339,Alkoholunfälle,Verletzte und Getötete,2019,3,22.0
340,Alkoholunfälle,Verletzte und Getötete,2019,4,18.0
341,Alkoholunfälle,Verletzte und Getötete,2019,5,21.0
342,Alkoholunfälle,Verletzte und Getötete,2019,6,24.0
343,Alkoholunfälle,Verletzte und Getötete,2019,7,34.0
344,Alkoholunfälle,Verletzte und Getötete,2019,8,23.0
345,Alkoholunfälle,Verletzte und Getötete,2019,9,20.0
346,Alkoholunfälle,Verletzte und Getötete,2019,10,20.0
347,Alkoholunfälle,Verletzte und Getötete,2019,11,19.0
348,Alkoholunfälle,Verletzte und Getötete,2019,12,12.0
350,Alkoholunfälle,Verletzte und Getötete,2018,1,8.0
351,Alkoholunfälle,Verletzte und Getötete,2018,2,13.0
352,Alkoholunfälle,Verletzte und Getötete,2018,3,12.0
353,Alkoholunfälle,Verletzte und Getötete,2018,4,8.0
354,Alkoholunfälle,Verletzte und Getötete,2018,5,23.0
355,Alkoholunfälle,Verletzte und Getötete,2018,6,14.0
356,Alkoholunfälle,Verletzte und Getötete,2018,7,29.0
357,Alkoholunfälle,Verletzte und Getötete,2018,8,18.0
358,Alkoholunfälle,Verletzte und Getötete,2018,9,22.0
359,Alkoholunfälle,Verletzte und Getötete,2018,10,16.0
360,Alkoholunfälle,Verletzte und Getötete,2018,11,13.0
361,Alkoholunfälle,Verletzte und Getötete,2018,12,6.0
363,Alkoholunfälle,Verletzte und Getötete,2017,1,4.0
364,Alkoholunfälle,Verletzte und Getötete,2017,2,4.0
365,Alkoholunfälle,Verletzte und Getötete,2017,3,15.0
366,Alkoholunfälle,Verletzte und Getötete,2017,4,10.0
367,Alkoholunfälle,Verletzte und Getötete,2017,5,16.0
368,Alkoholunfälle,Verletzte und Getötete,2017,6,27.0
369,Alkoholunfälle,Verletzte und Getötete,2017,7,18.0
370,Alkoholunfälle,Verletzte und Getötete,2017,8,14.0
371,Alkoholunfälle,Verletzte und Getötete,2017,9,22.0
372,Alkoholunfälle,Verletzte und Getötete,2017,10,16.0
373,Alkoholunfälle,Verletzte und Getötete,2017,11,13.0
374,Alkoholunfälle,Verletzte und Getötete,2017,12,17.0
376,Alkoholunfälle,Verletzte und Getötete,2016,1,6.0
377,Alkoholunfälle,Verletzte und Getötete,2016,2,3.0
378,Alkoholunfälle,Verletzte und Getötete,2016,3,6.0
379,Alkoholunfälle,Verletzte und Getötete,2016,4,8.0
380,Alkoholunfälle,Verletzte und Getötete,2016,5,17.0
381,Alkoholunfälle,Verletzte und Getötete,2016,6,19.0
382,Alkoholunfälle,Verletzte und Getötete,2016,7,23.0
383,Alkoholunfälle,Verletzte und Getötete,2016,8,12.0
384,Alkoholunfälle,Verletzte und Getötete,2016,9,22.0
385,Alkoholunfälle,Verletzte und Getötete,2016,10,11.0
386,Alkoholunfälle,Verletzte und Getötete,2016,11,7.0
387,Alkoholunfälle,Verletzte und Getötete,2016,12,10.0
389,Alkoholunfälle,Verletzte und Getötete,2015,1,21.0
390,Alkoholunfälle,Verletzte und Getötete,2015,2,3.0
391,Alkoholunfälle,Verletzte und Getötete,2015,3,9.0
392,Alkoholunfälle,Verletzte und Getötete,2015,4,23.0
393,Alkoholunfälle,Verletzte und Getötete,2015,5,30.0
394,Alkoholunfälle,Verletzte und Getötete,2015,6,19.0
395,Alkoholunfälle,Verletzte und Getötete,2015,7,37.0
396,Alkoholunfälle,Verletzte und Getötete,2015,8,29.0
397,Alkoholunfälle,Verletzte und Getötete,2015,9,25.0
398,Alkoholunfälle,Verletzte und Getötete,2015,10,12.0
399,Alkoholunfälle,Verletzte und Getötete,2015,11,11.0
400,Alkoholunfälle,Verletzte und Getötete,2015,12,6.0
402,Alkoholunfälle,Verletzte und Getötete,2014,1,4.0
403,Alkoholunfälle,Verletzte und Getötete,2014,2,7.0
404,Alkoholunfälle,Verletzte und Getötete,2014,3,16.0
405,Alkoholunfälle,Verletzte und Getötete,2014,4,15.0
406,Alkoholunfälle,Verletzte und Getötete,2014,5,19.0
407,Alkoholunfälle,Verletzte und Getötete,2014,6,16.0
408,Alkoholunfälle,Verletzte und Getötete,2014,7,21.0
409,Alkoholunfälle,Verletzte und Getötete,2014,8,13.0
410,Alkoholunfälle,Verletzte und Getötete,2014,9,18.0
411,Alkoholunfälle,Verletzte und Getötete,2014,10,21.0
412,Alkoholunfälle,Verletzte und Getötete,2014,11,14.0
413,Alkoholunfälle,Verletzte und Getötete,2014,12,3.0
415,Alkoholunfälle,Verletzte und Getötete,2013,1,2.0
416,Alkoholunfälle,Verletzte und Getötete,2013,2,0.0
417,Alkoholunfälle,Verletzte und Getötete,2013,3,8.0
418,Alkoholunfälle,Verletzte und Getötete,2013,4,5.0
419,Alkoholunfälle,Verletzte und Getötete,2013,5,21.0
420,Alkoholunfälle,Verletzte und Getötete,2013,6,20.0
421,Alkoholunfälle,Verletzte und Getötete,2013,7,24.0
422,Alkoholunfälle,Verletzte und Getötete,2013,8,22.0
423,Alkoholunfälle,Verletzte und Getötete,2013,9,17.0
424,Alkoholunfälle,Verletzte und Getötete,2013,10,12.0
425,Alkoholunfälle,Verletzte und Getötete,2013,11,12.0
426,Alkoholunfälle,Verletzte und Getötete,2013,12,10.0
428,Alkoholunfälle,Verletzte und Getötete,2012,1,11.0
429,Alkoholunfälle,Verletzte und Getötete,2012,2,5.0
430,Alkoholunfälle,Verletzte und Getötete,2012,3,5.0
431,Alkoholunfälle,Verletzte und Getötete,2012,4,22.0
432,Alkoholunfälle,Verletzte und Getötete,2012,5,33.0
433,Alkoholunfälle,Verletzte und Getötete,2012,6,35.0
434,Alkoholunfälle,Verletzte und Getötete,2012,7,30.0
435,Alkoholunfälle,Verletzte und Getötete,2012,8,31.0
436,Alkoholunfälle,Verletzte und Getötete,2012,9,24.0
437,Alkoholunfälle,Verletzte und Getötete,2012,10,6.0
438,Alkoholunfälle,Verletzte und Getötete,2012,11,10.0
439,Alkoholunfälle,Verletzte und Getötete,2012,12,11.0
441,Alkoholunfälle,Verletzte und Getötete,2011,1,16.0
442,Alkoholunfälle,Verletzte und Getötete,2011,2,7.0
443,Alkoholunfälle,Verletzte und Getötete,2011,3,9.0
444,Alkoholunfälle,Verletzte und Getötete,2011,4,27.0
445,Alkoholunfälle,Verletzte und Getötete,2011,5,20.0
446,Alkoholunfälle,Verletzte und Getötete,2011,6,21.0
447,Alkoholunfälle,Verletzte und Getötete,2011,7,27.0
448,Alkoholunfälle,Verletzte und Getötete,2011,8,17.0
449,Alkoholunfälle,Verletzte und Getötete,2011,9,22.0
450,Alkoholunfälle,Verletzte und Getötete,2011,10,10.0
451,Alkoholunfälle,Verletzte und Getötete,2011,11,16.0
452,Alkoholunfälle,Verletzte und Getötete,2011,12,6.0
454,Alkoholunfälle,Verletzte und Getötete,2010,1,7.0
455,Alkoholunfälle,Verletzte und Getötete,2010,2,10.0
456,Alkoholunfälle,Verletzte und Getötete,2010,3,12.0
457,Alkoholunfälle,Verletzte und Getötete,2010,4,25.0
458,Alkoholunfälle,Verletzte und Getötete,2010,5,15.0
459,Alkoholunfälle,Verletzte und Getötete,2010,6,20.0
460,Alkoholunfälle,Verletzte und Getötete,2010,7,29.0
461,Alkoholunfälle,Verletzte und Getötete,2010,8,25.0
462,Alkoholunfälle,Verletzte und Getötete,2010,9,26.0
463,Alkoholunfälle,Verletzte und Getötete,2010,10,13.0
464,Alkoholunfälle,Verletzte und Getötete,2010,11,7.0
465,Alkoholunfälle,Verletzte und Getötete,2010,12,12.0
