,MONATSZAHL,AUSPRAEGUNG,JAHR,MONAT,WERT
467,Alkoholunfälle,Verletzte und Getötete,2009,1,7.0
468,Alkoholunfälle,Verletzte und Getötete,2009,2,12.0
469,Alkoholunfälle,Verletzte und Getötete,2009,3,5.0
470,Alkoholunfälle,Verletzte und Getötete,2009,4,31.0
471,Alkoholunfälle,Verletzte und Getötete,2009,5,34.0
472,Alkoholunfälle,Verletzte und Getötete,2009,6,19.0
473,Alkoholunfälle,Verletzte und Getötete,2009,7,27.0
474,Alkoholunfälle,Verletzte und Getötete,2009,8,26.0
475,Alkoholunfälle,Verletzte und Getötete,2009,9,18.0
476,Alkoholunfälle,Verletzte und Getötete,2009,10,15.0
477,Alkoholunfälle,Verletzte und Getötete,2009,11,5.0
478,Alkoholunfälle,Verletzte und Getötete,2009,12,14.0
480,Alkoholunfälle,Verletzte und Getötete,2008,1,8.0
481,Alkoholunfälle,Verletzte und Getötete,2008,2,16.0
482,Alkoholunfälle,Verletzte und Getötete,2008,3,9.0
483,Alkoholunfälle,Verletzte und Getötete,2008,4,10.0
484,Alkoholunfälle,Verletzte und Getötete,2008,5,37.0
485,Alkoholunfälle,Verletzte und Getötete,2008,6,32.0
486,Alkoholunfälle,Verletzte und Getötete,2008,7,24.0
487,Alkoholunfälle,Verletzte und Getötete,2008,8,23.0
488,Alkoholunfälle,Verletzte und Getötete,2008,9,28.0
489,Alkoholunfälle,Verletzte und Getötete,2008,10,19.0
490,Alkoholunfälle,Verletzte und Getötete,2008,11,14.0
491,Alkoholunfälle,Verletzte und Getötete,2008,12,20.0
493,Alkoholunfälle,Verletzte und Getötete,2007,1,13.0
494,Alkoholunfälle,Verletzte und Getötete,2007,2,15.0
495,Alkoholunfälle,Verletzte und Getötete,2007,3,14.0
496,Alkoholunfälle,Verletzte und Getötete,2007,4,27.0
497,Alkoholunfälle,Verletzte und Getötete,2007,5,39.0
498,Alkoholunfälle,Verletzte und Getötete,2007,6,27.0
499,Alkoholunfälle,Verletzte und Getötete,2007,7,38.0
500,Alkoholunfälle,Verletzte und Getötete,2007,8,20.0
501,Alkoholunfälle,Verletzte und Getötete,2007,9,24.0
502,Alkoholunfälle,Verletzte und Getötete,2007,10,18.0
503,Alkoholunfälle,Verletzte und Getötete,2007,11,26.0
504,Alkoholunfälle,Verletzte und Getötete,2007,12,20.0
506,Alkoholunfälle,Verletzte und Getötete,2006,1,21.0
507,Alkoholunfälle,Verletzte und Getötete,2006,2,21.0
508,Alkoholunfälle,Verletzte und Getötete,2006,3,14.0
509,Alkoholunfälle,Verletzte und Getötete,2006,4,16.0
510,Alkoholunfälle,Verletzte und Getötete,2006,5,28.0
511,Alkoholunfälle,Verletzte und Getötete,2006,6,22.0
512,Alkoholunfälle,Verletzte und Getötete,2006,7,37.0
513,Alkoholunfälle,Verletzte und Getötete,2006,8,25.0
514,Alkoholunfälle,Verletzte und Getötete,2006,9,35.0
515,Alkoholunfälle,Verletzte und Getötete,2006,10,24.0
516,Alkoholunfälle,Verletzte und Getötete,2006,11,22.0
517,Alkoholunfälle,Verletzte und Getötete,2006,12,21.0
519,Alkoholunfälle,Verletzte und Getötete,2005,1,13.0
520,Alkoholunfälle,Verletzte und Getötete,2005,2,14.0
521,Alkoholunfälle,Verletzte und Getötete,2005,3,13.0
522,Alkoholunfälle,Verletzte und Getötete,2005,4,19.0
523,Alkoholunfälle,Verletzte und Getötete,2005,5,21.0
524,Alkoholunfälle,Verletzte und Getötete,2005,6,31.0
525,Alkoholunfälle,Verletzte und Getötete,2005,7,26.0
526,Alkoholunfälle,Verletzte und Getötete,2005,8,33.0
527,Alkoholunfälle,Verletzte und Getötete,2005,9,50.0
528,Alkoholunfälle,Verletzte und Getötete,2005,10,35.0
529,Alkoholunfälle,Verletzte und Getötete,2005,11,14.0
530,Alkoholunfälle,Verletzte und Getötete,2005,12,12.0
532,Alkoholunfälle,Verletzte und Getötete,2004,1,10.0
533,Alkoholunfälle,Verletzte und Getötete,2004,2,21.0
534,Alkoholunfälle,Verletzte und Getötete,2004,3,18.0
535,Alkoholunfälle,Verletzte und Getötete,2004,4,10.0
536,Alkoholunfälle,Verletzte und Getötete,2004,5,30.0
537,Alkoholunfälle,Verletzte und Getötete,2004,6,25.0
538,Alkoholunfälle,Verletzte und Getötete,2004,7,44.0
539,Alkoholunfälle,Verletzte und Getötete,2004,8,47.0
540,Alkoholunfälle,Verletzte und Getötete,2004,9,41.0
541,Alkoholunfälle,Verletzte und Getötete,2004,10,26.0
542,Alkoholunfälle,Verletzte und Getötete,2004,11,20.0
543,Alkoholunfälle,Verletzte und Getötete,2004,12,12.0
545,Alkoholunfälle,Verletzte und Getötete,2003,1,18.0
546,Alkoholunfälle,Verletzte und Getötete,2003,2,16.0
547,Alkoholunfälle,Verletzte und Getötete,2003,3,17.0
548,Alkoholunfälle,Verletzte und Getötete,2003,4,25.0
549,Alkoholunfälle,Verletzte und Getötete,2003,5,26.0
550,Alkoholunfälle,Verletzte und Getötete,2003,6,41.0
551,Alkoholunfälle,Verletzte und Getötete,2003,7,35.0
552,Alkoholunfälle,Verletzte und Getötete,2003,8,40.0
553,Alkoholunfälle,Verletzte und Getötete,2003,9,26.0
554,Alkoholunfälle,Verletzte und Getötete,2003,10,17.0
555,Alkoholunfälle,Verletzte und Getötete,2003,11,31.0
556,Alkoholunfälle,Verletzte und Getötete,2003,12,27.0
558,Alkoholunfälle,Verletzte und Getötete,2002,1,24.0
559,Alkoholunfälle,Verletzte und Getötete,2002,2,22.0
560,Alkoholunfälle,Verletzte und Getötete,2002,3,21.0
561,Alkoholunfälle,Verletzte und Getötete,2002,4,28.0
562,Alkoholunfälle,Verletzte und Getötete,2002,5,32.0
563,Alkoholunfälle,Verletzte und Getötete,2002,6,42.0
564,Alkoholunfälle,Verletzte und Getötete,2002,7,40.0
565,Alkoholunfälle,Verletzte und Getötete,2002,8,29.0
566,Alkoholunfälle,Verletzte und Getötete,2002,9,51.0
567,Alkoholunfälle,Verletzte und Getötete,2002,10,53.0
568,Alkoholunfälle,Verletzte und Getötete,2002,11,10.0
569,Alkoholunfälle,Verletzte und Getötete,2002,12,27.0
571,Alkoholunfälle,Verletzte und Getötete,2001,1,36.0
572,Alkoholunfälle,Verletzte und Getötete,2001,2,20.0
573,Alkoholunfälle,Verletzte und Getötete,2001,3,36.0
574,Alkoholunfälle,Verletzte und Getötete,2001,4,32.0
575,Alkoholunfälle,Verletzte und Getötete,2001,5,32.0
576,Alkoholunfälle,Verletzte und Getötete,2001,6,46.0
577,Alkoholunfälle,Verletzte und Getötete,2001,7,35.0
578,Alkoholunfälle,Verletzte und Getötete,2001,8,21.0
579,Alkoholunfälle,Verletzte und Getötete,2001,9,48.0
580,Alkoholunfälle,Verletzte und Getötete,2001,10,37.0
581,Alkoholunfälle,Verletzte und Getötete,2001,11,25.0
582,Alkoholunfälle,Verletzte und Getötete,2001,12,23.0
584,Alkoholunfälle,Verletzte und Getötete,2000,1,37.0
585,Alkoholunfälle,Verletzte und Getötete,2000,2,19.0
586,Alkoholunfälle,Verletzte und Getötete,2000,3,18.0
587,Alkoholunfälle,Verletzte und Getötete,2000,4,26.0
588,Alkoholunfälle,Verletzte und Getötete,2000,5,44.0
589,Alkoholunfälle,Verletzte und Getötete,2000,6,32.0
590,Alkoholunfälle,Verletzte und Getötete,2000,7,37.0
591,Alkoholunfälle,Verletzte und Getötete,2000,8,32.0
592,Alkoholunfälle,Verletzte und Getötete,2000,9,45.0
593,Alkoholunfälle,Verletzte und Getötete,2000,10,31.0
594,Alkoholunfälle,Verletzte und Getötete,2000,11,24.0
595,Alkoholunfälle,Verletzte und Getötete,2000,12,31.0
622,Fluchtunfälle,insgesamt,2020,1,791.0
623,Fluchtunfälle,insgesamt,2020,2,870.0
624,Fluchtunfälle,insgesamt,2020,3,744.0
625,Fluchtunfälle,insgesamt,2020,4,607.0
626,Fluchtunfälle,insgesamt,2020,5,859.0
627,Fluchtunfälle,insgesamt,2020,6,905.0
628,Fluchtunfälle,insgesamt,2020,7,1010.0
629,Fluchtunfälle,insgesamt,2020,8,735.0
630,Fluchtunfälle,insgesamt,2020,9,948.0
631,Fluchtunfälle,insgesamt,2020,10,997.0
632,Fluchtunfälle,insgesamt,2020,11,864.0
633,Fluchtunfälle,insgesamt,2020,12,694.0
635,Fluchtunfälle,insgesamt,2019,1,927.0
636,Fluchtunfälle,insgesamt,2019,2,883.0
637,Fluchtunfälle,insgesamt,2019,3,1005.0
638,Fluchtunfälle,insgesamt,2019,4,967.0
639,Fluchtunfälle,insgesamt,2019,5,1014.0
640,Fluchtunfälle,insgesamt,2019,6,994.0
641,Fluchtunfälle,insgesamt,2019,7,1187.0
642,Fluchtunfälle,insgesamt,2019,8,820.0
643,Fluchtunfälle,insgesamt,2019,9,996.0
644,Fluchtunfälle,insgesamt,2019,10,1088.0
645,Fluchtunfälle,insgesamt,2019,11,967.0
646,Fluchtunfälle,insgesamt,2019,12,925.0
648,Fluchtunfälle,insgesamt,2018,1,860.0
649,Fluchtunfälle,insgesamt,2018,2,774.0
650,Fluchtunfälle,insgesamt,2018,3,954.0
651,Fluchtunfälle,insgesamt,2018,4,1010.0
652,Fluchtunfälle,insgesamt,2018,5,994.0
653,Fluchtunfälle,insgesamt,2018,6,1034.0
654,Fluchtunfälle,insgesamt,2018,7,1151.0
655,Fluchtunfälle,insgesamt,2018,8,813.0
656,Fluchtunfälle,insgesamt,2018,9,1102.0
657,Fluchtunfälle,insgesamt,2018,10,1127.0
658,Fluchtunfälle,insgesamt,2018,11,929.0
659,Fluchtunfälle,insgesamt,2018,12,900.0
661,Fluchtunfälle,insgesamt,2017,1,690.0
662,Fluchtunfälle,insgesamt,2017,2,846.0
663,Fluchtunfälle,insgesamt,2017,3,1060.0
664,Fluchtunfälle,insgesamt,2017,4,895.0
665,Fluchtunfälle,insgesamt,2017,5,1070.0
666,Fluchtunfälle,insgesamt,2017,6,948.0
667,Fluchtunfälle,insgesamt,2017,7,1064.0
668,Fluchtunfälle,insgesamt,2017,8,831.0
669,Fluchtunfälle,insgesamt,2017,9,1009.0
670,Fluchtunfälle,insgesamt,2017,10,1052.0
671,Fluchtunfälle,insgesamt,2017,11,925.0
672,Fluchtunfälle,insgesamt,2017,12,873.0
674,Fluchtunfälle,insgesamt,2016,1,777.0
675,Fluchtunfälle,insgesamt,2016,2,775.0
676,Fluchtunfälle,insgesamt,2016,3,898.0
677,Fluchtunfälle,insgesamt,2016,4,998.0
678,Fluchtunfälle,insgesamt,2016,5,850.0
679,Fluchtunfälle,insgesamt,2016,6,1018.0
680,Fluchtunfälle,insgesamt,2016,7,1095.0
681,Fluchtunfälle,insgesamt,2016,8,958.0
682,Fluchtunfälle,insgesamt,2016,9,958.0
683,Fluchtunfälle,insgesamt,2016,10,1022.0
684,Fluchtunfälle,insgesamt,2016,11,960.0
685,Fluchtunfälle,insgesamt,2016,12,870.0
687,Fluchtunfälle,insgesamt,2015,1,781.0
688,Fluchtunfälle,insgesamt,2015,2,713.0
689,Fluchtunfälle,insgesamt,2015,3,908.0
690,Fluchtunfälle,insgesamt,2015,4,966.0
691,Fluchtunfälle,insgesamt,2015,5,940.0
692,Fluchtunfälle,insgesamt,2015,6,952.0
693,Fluchtunfälle,insgesamt,2015,7,1176.0
694,Fluchtunfälle,insgesamt,2015,8,864.0
695,Fluchtunfälle,insgesamt,2015,9,1007.0
696,Fluchtunfälle,insgesamt,2015,10,1110.0
697,Fluchtunfälle,insgesamt,2015,11,991.0
698,Fluchtunfälle,insgesamt,2015,12,950.0
700,Fluchtunfälle,insgesamt,2014,1,778.0
701,Fluchtunfälle,insgesamt,2014,2,742.0
702,Fluchtunfälle,insgesamt,2014,3,993.0
703,Fluchtunfälle,insgesamt,2014,4,946.0
704,Fluchtunfälle,insgesamt,2014,5,925.0
705,Fluchtunfälle,insgesamt,2014,6,880.0
706,Fluchtunfälle,insgesamt,2014,7,1029.0
707,Fluchtunfälle,insgesamt,2014,8,802.0
708,Fluchtunfälle,insgesamt,2014,9,936.0
709,Fluchtunfälle,insgesamt,2014,10,1042.0
710,Fluchtunfälle,insgesamt,2014,11,943.0
711,Fluchtunfälle,insgesamt,2014,12,830.0
713,Fluchtunfälle,insgesamt,2013,1,796.0
714,Fluchtunfälle,insgesamt,2013,2,773.0
715,Fluchtunfälle,insgesamt,2013,3,906.0
716,Fluchtunfälle,insgesamt,2013,4,1038.0
717,Fluchtunfälle,insgesamt,2013,5,848.0
718,Fluchtunfälle,insgesamt,2013,6,1055.0
719,Fluchtunfälle,insgesamt,2013,7,1138.0
720,Fluchtunfälle,insgesamt,2013,8,791.0
721,Fluchtunfälle,insgesamt,2013,9,1000.0
722,Fluchtunfälle,insgesamt,2013,10,1074.0
723,Fluchtunfälle,insgesamt,2013,11,939.0
724,Fluchtunfälle,insgesamt,2013,12,828.0
726,Fluchtunfälle,insgesamt,2012,1,713.0
727,Fluchtunfälle,insgesamt,2012,2,714.0
728,Fluchtunfälle,insgesamt,2012,3,946.0
729,Fluchtunfälle,insgesamt,2012,4,919.0
730,Fluchtunfälle,insgesamt,2012,5,1035.0
731,Fluchtunfälle,insgesamt,2012,6,1041.0
732,Fluchtunfälle,insgesamt,2012,7,1045.0
733,Fluchtunfälle,insgesamt,2012,8,887.0
734,Fluchtunfälle,insgesamt,2012,9,921.0
735,Fluchtunfälle,insgesamt,2012,10,1090.0
736,Fluchtunfälle,insgesamt,2012,11,984.0
737,Fluchtunfälle,insgesamt,2012,12,810.0
739,Fluchtunfälle,insgesamt,2011,1,726.0
740,Fluchtunfälle,insgesamt,2011,2,760.0
741,Fluchtunfälle,insgesamt,2011,3,883.0
742,Fluchtunfälle,insgesamt,2011,4,835.0
743,Fluchtunfälle,insgesamt,2011,5,1034.0
744,Fluchtunfälle,insgesamt,2011,6,783.0
745,Fluchtunfälle,insgesamt,2011,7,951.0
746,Fluchtunfälle,insgesamt,2011,8,790.0
747,Fluchtunfälle,insgesamt,2011,9,906.0
748,Fluchtunfälle,insgesamt,2011,10,916.0
749,Fluchtunfälle,insgesamt,2011,11,842.0
750,Fluchtunfälle,insgesamt,2011,12,832.0
752,Fluchtunfälle,insgesamt,2010,1,613.0
753,Fluchtunfälle,insgesamt,2010,2,683.0
754,Fluchtunfälle,insgesamt,2010,3,829.0
755,Fluchtunfälle,insgesamt,2010,4,938.0
756,Fluchtunfälle,insgesamt,2010,5,743.0
757,Fluchtunfälle,insgesamt,2010,6,814.0
758,Fluchtunfälle,insgesamt,2010,7,932.0
759,Fluchtunfälle,insgesamt,2010,8,794.0
760,Fluchtunfälle,insgesamt,2010,9,955.0
761,Fluchtunfälle,insgesamt,2010,10,910.0
762,Fluchtunfälle,insgesamt,2010,11,827.0
763,Fluchtunfälle,insgesamt,2010,12,861.0
765,Fluchtunfälle,insgesamt,2009,1,512.0
766,Fluchtunfälle,insgesamt,2009,2,802.0
767,Fluchtunfälle,insgesamt,2009,3,607.0
768,Fluchtunfälle,insgesamt,2009,4,776.0
769,Fluchtunfälle,insgesamt,2009,5,768.0
770,Fluchtunfälle,insgesamt,2009,6,678.0
771,Fluchtunfälle,insgesamt,2009,7,991.0
772,Fluchtunfälle,insgesamt,2009,8,752.0
773,Fluchtunfälle,insgesamt,2009,9,846.0
774,Fluchtunfälle,insgesamt,2009,10,953.0
775,Fluchtunfälle,insgesamt,2009,11,835.0
776,Fluchtunfälle,insgesamt,2009,12,747.0
778,Fluchtunfälle,insgesamt,2008,1,727.0
779,Fluchtunfälle,insgesamt,2008,2,793.0
780,Fluchtunfälle,insgesamt,2008,3,763.0
781,Fluchtunfälle,insgesamt,2008,4,837.0
782,Fluchtunfälle,insgesamt,2008,5,871.0
783,Fluchtunfälle,insgesamt,2008,6,859.0
784,Fluchtunfälle,insgesamt,2008,7,832.0
785,Fluchtunfälle,insgesamt,2008,8,760.0
786,Fluchtunfälle,insgesamt,2008,9,747.0
787,Fluchtunfälle,insgesamt,2008,10,874.0
788,Fluchtunfälle,insgesamt,2008,11,625.0
789,Fluchtunfälle,insgesamt,2008,12,657.0
791,Fluchtunfälle,insgesamt,2007,1,699.0
792,Fluchtunfälle,insgesamt,2007,2,612.0
793,Fluchtunfälle,insgesamt,2007,3,411.0
794,Fluchtunfälle,insgesamt,2007,4,821.0
795,Fluchtunfälle,insgesamt,2007,5,858.0
796,Fluchtunfälle,insgesamt,2007,6,804.0
797,Fluchtunfälle,insgesamt,2007,7,935.0
798,Fluchtunfälle,insgesamt,2007,8,759.0
799,Fluchtunfälle,insgesamt,2007,9,797.0
800,Fluchtunfälle,insgesamt,2007,10,873.0
801,Fluchtunfälle,insgesamt,2007,11,868.0
802,Fluchtunfälle,insgesamt,2007,12,690.0
804,Fluchtunfälle,insgesamt,2006,1,708.0
805,Fluchtunfälle,insgesamt,2006,2,698.0
806,Fluchtunfälle,insgesamt,2006,3,1138.0
807,Fluchtunfälle,insgesamt,2006,4,750.0
808,Fluchtunfälle,insgesamt,2006,5,476.0
809,Fluchtunfälle,insgesamt,2006,6,565.0
810,Fluchtunfälle,insgesamt,2006,7,845.0
811,Fluchtunfälle,insgesamt,2006,8,774.0
812,Fluchtunfälle,insgesamt,2006,9,718.0
813,Fluchtunfälle,insgesamt,2006,10,599.0
814,Fluchtunfälle,insgesamt,2006,11,494.0
815,Fluchtunfälle,insgesamt,2006,12,864.0
817,Fluchtunfälle,insgesamt,2005,1,749.0
818,Fluchtunfälle,insgesamt,2005,2,961.0
819,Fluchtunfälle,insgesamt,2005,3,1115.0
820,Fluchtunfälle,insgesamt,2005,4,937.0
821,Fluchtunfälle,insgesamt,2005,5,902.0
822,Fluchtunfälle,insgesamt,2005,6,901.0
823,Fluchtunfälle,insgesamt,2005,7,951.0
824,Fluchtunfälle,insgesamt,2005,8,811.0
825,Fluchtunfälle,insgesamt,2005,9,1086.0
826,Fluchtunfälle,insgesamt,2005,10,962.0
827,Fluchtunfälle,insgesamt,2005,11,845.0
828,Fluchtunfälle,insgesamt,2005,12,817.0
830,Fluchtunfälle,insgesamt,2004,1,828.0
831,Fluchtunfälle,insgesamt,2004,2,723.0
832,Fluchtunfälle,insgesamt,2004,3,817.0
833,Fluchtunfälle,insgesamt,2004,4,875.0
834,Fluchtunfälle,insgesamt,2004,5,867.0
835,Fluchtunfälle,insgesamt,2004,6,859.0
836,Fluchtunfälle,insgesamt,2004,7,970.0
837,Fluchtunfälle,insgesamt,2004,8,784.0
838,Fluchtunfälle,insgesamt,2004,9,957.0
839,Fluchtunfälle,insgesamt,2004,10,1022.0
840,Fluchtunfälle,insgesamt,2004,11,903.0
841,Fluchtunfälle,insgesamt,2004,12,942.0
843,Fluchtunfälle,insgesamt,2003,1,747.0
844,Fluchtunfälle,insgesamt,2003,2,572.0
845,Fluchtunfälle,insgesamt,2003,3,854.0
846,Fluchtunfälle,insgesamt,2003,4,844.0
847,Fluchtunfälle,insgesamt,2003,5,763.0
848,Fluchtunfälle,insgesamt,2003,6,855.0
849,Fluchtunfälle,insgesamt,2003,7,562.0
850,Fluchtunfälle,insgesamt,2003,8,698.0
851,Fluchtunfälle,insgesamt,2003,9,945.0
852,Fluchtunfälle,insgesamt,2003,10,960.0
853,Fluchtunfälle,insgesamt,2003,11,953.0
854,Fluchtunfälle,insgesamt,2003,12,858.0
856,Fluchtunfälle,insgesamt,2002,1,852.0
857,Fluchtunfälle,insgesamt,2002,2,817.0
858,Fluchtunfälle,insgesamt,2002,3,897.0
859,Fluchtunfälle,insgesamt,2002,4,784.0
860,Fluchtunfälle,insgesamt,2002,5,857.0
861,Fluchtunfälle,insgesamt,2002,6,987.0
862,Fluchtunfälle,insgesamt,2002,7,1026.0
863,Fluchtunfälle,insgesamt,2002,8,785.0
864,Fluchtunfälle,insgesamt,2002,9,1039.0
865,Fluchtunfälle,insgesamt,2002,10,1019.0
866,Fluchtunfälle,insgesamt,2002,11,882.0
867,Fluchtunfälle,insgesamt,2002,12,706.0
869,Fluchtunfälle,insgesamt,2001,1,871.0
870,Fluchtunfälle,insgesamt,2001,2,820.0
871,Fluchtunfälle,insgesamt,2001,3,962.0
872,Fluchtunfälle,insgesamt,2001,4,897.0
873,Fluchtunfälle,insgesamt,2001,5,1081.0
874,Fluchtunfälle,insgesamt,2001,6,905.0
875,Fluchtunfälle,insgesamt,2001,7,1047.0
876,Fluchtunfälle,insgesamt,2001,8,814.0
877,Fluchtunfälle,insgesamt,2001,9,953.0
878,Fluchtunfälle,insgesamt,2001,10,1104.0
879,Fluchtunfälle,insgesamt,2001,11,1001.0
880,Fluchtunfälle,insgesamt,2001,12,941.0
882,Fluchtunfälle,insgesamt,2000,1,835.0
883,Fluchtunfälle,insgesamt,2000,2,890.0
884,Fluchtunfälle,insgesamt,2000,3,974.0
885,Fluchtunfälle,insgesamt,2000,4,834.0
886,Fluchtunfälle,insgesamt,2000,5,1086.0
887,Fluchtunfälle,insgesamt,2000,6,842.0
888,Fluchtunfälle,insgesamt,2000,7,1102.0
889,Fluchtunfälle,insgesamt,2000,8,881.0
890,Fluchtunfälle,insgesamt,2000,9,978.0
891,Fluchtunfälle,insgesamt,2000,10,1078.0
892,Fluchtunfälle,insgesamt,2000,11,1017.0
893,Fluchtunfälle,insgesamt,2000,12,950.0
920,Fluchtunfälle,Verletzte und Getötete,2020,1,28.0
921,Fluchtunfälle,Verletzte und Getötete,2020,2,34.0
922,Fluchtunfälle,Verletzte und Getötete,2020,3,33.0
923,Fluchtunfälle,Verletzte und Getötete,2020,4,34.0
924,Fluchtunfälle,Verletzte und Getötete,2020,5,34.0
925,Fluchtunfälle,Verletzte und Getötete,2020,6,49.0
926,Fluchtunfälle,Verletzte und Getötete,2020,7,58.0
927,Fluchtunfälle,Verletzte und Getötete,2020,8,36.0
928,Fluchtunfälle,Verletzte und Getötete,2020,9,49.0
929,Fluchtunfälle,Verletzte und Getötete,2020,10,50.0
